,country_name,soccerway_links,points_bfWOC,points_firstWOC,fifa_ranking,confederation,mkt_value_euros
0,Netherlands,https://us.soccerway.com//teams/netherlands/netherlands/1552/,13,3,1694.51,UEFA,587250000
1,Senegal,https://us.soccerway.com//teams/senegal/senegal/1941/,10,0,1584.38,CAF,229500000
2,Ecuador,https://us.soccerway.com//teams/ecuador/ecuador/657/,7,3,1464.39,CONMEBOL,146500000
3,Qatar,https://us.soccerway.com//teams/qatar/qatar/1774/,13,0,1439.89,AFC,14900000
4,England,https://us.soccerway.com//teams/england/england/774/,3,3,1728.47,UEFA,1260000000
5,United States,https://us.soccerway.com//teams/united-states/united-states-of-america/2281/,6,1,1627.48,CONCACAF,277400000
6,Iran,https://us.soccerway.com//teams/iran/iran/1178/,10,0,1564.61,AFC,59530000
7,Wales,https://us.soccerway.com//teams/wales/wales/2332/,1,1,1569.82,UEFA,160150000
8,Poland,https://us.soccerway.com//teams/poland/poland/1677/,7,1,1548.59,UEFA,255600000
9,Argentina,https://us.soccerway.com//teams/argentina/argentina/132/,15,0,1773.88,CONMEBOL,645200000
10,Saudi Arabia,https://us.soccerway.com//teams/saudi-arabia/saudi-arabia/1897/,6,3,1437.78,AFC,25200000
11,Mexico,https://us.soccerway.com//teams/mexico/mexico/1497/,6,1,1644.89,CONCACAF,176100000
12,France,https://us.soccerway.com//teams/france/france/944/,5,3,1759.78,UEFA,1030000000
13,Australia,https://us.soccerway.com//teams/australia/australia/156/,15,0,1488.72,AFC,37300000
14,Denmark,https://us.soccerway.com//teams/denmark/denmark/643/,9,1,1666.57,UEFA,353000000
15,Tunisia,https://us.soccerway.com//teams/tunisia/tunisia/2211/,10,1,1507.54,CAF,62400000
16,Spain,https://us.soccerway.com//teams/spain/spain/2137/,12,3,1715.22,UEFA,877000000
17,Japan,https://us.soccerway.com//teams/japan/japan/1348/,8,3,1559.54,AFC,154000000
18,Costa Rica,https://us.soccerway.com//teams/costa-rica/costa-rica/477/,13,0,1503.59,CONCACAF,18750000
19,Germany,https://us.soccerway.com//teams/germany/germany/1037/,8,0,1650.21,UEFA,885500000
20,Croatia,https://us.soccerway.com//teams/croatia/croatia/514/,15,1,1645.64,UEFA,377000000
21,Morocco,https://us.soccerway.com//teams/morocco/morocco/1509/,13,1,1563.5,CAF,241100000
22,Belgium,https://us.soccerway.com//teams/belgium/belgium/281/,7,3,1816.71,UEFA,563200000
23,Canada,https://us.soccerway.com//teams/canada/canada/401/,7,0,1475.0,CONCACAF,187300000
24,Brazil,https://us.soccerway.com//teams/brazil/brazil/349/,15,3,1841.3,CONMEBOL,1140000000
25,Switzerland,https://us.soccerway.com//teams/switzerland/switzerland/2201/,9,3,1635.92,UEFA,281000000
26,Cameroon,https://us.soccerway.com//teams/cameroon/cameroon/386/,5,0,1471.44,CAF,155000000
27,Serbia,https://us.soccerway.com//teams/serbia/serbia/6816/,13,0,1563.62,UEFA,359500000
28,Portugal,https://us.soccerway.com//teams/portugal/portugal/1772/,9,3,1676.56,UEFA,937000000
29,Ghana,https://us.soccerway.com//teams/ghana/ghana/1038/,12,0,1393.0,CAF,216900000
30,Korea Republic,https://us.soccerway.com//teams/korea-republic/korea-republic/1385/,10,1,1530.3,AFC,164480000
31,Uruguay,https://us.soccerway.com//teams/uruguay/uruguay/2300/,10,1,1638.71,CONMEBOL,449700000
